name,subdir,N,E,N_types,specificity,degree_mean,degree_hetero,max_edges,clustering_coeff,max_chordless_cycle,self_assembly_probability,tree_num,guided_assembly_probability,tree_depth,tree_leaves,tree_N
0_1_1_6_14_14_13_7_10_3_3_3,bl_3,9,8,4,1.037037037037037,1.7777777777777777,3.333333333333333,4,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_18_22_8_18_11_21_14_5_16_8_2_18_5_9_20_3_2_20_19_8,bl_3,35,34,8,0.9387755102040816,1.9428571428571428,4.171428571428572,30,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_12_19_6_3_14_7_13_2_20_19_3_8,bl_3,19,18,9,0.9078947368421052,1.894736842105263,4.0,14,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_11_6_17_22_15_18_20_2_14_8_20_9_3_2_19_4_4_19_18_20_8_8_9,bl_3,40,39,9,0.928125,1.95,4.15,35,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_7_15_17_21_14_20_13_3_3_2_18_20_8_8,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_7_21_11_5_8_15_14_14_2_8_5_14_2_3_18_4_16_4_9_8_8_5_17,bl_3,40,39,8,0.9339285714285714,1.95,4.15,35,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_21_4_2_15_12_5_2_8_14_19_4_5_5_16_9_7_8_15_18_19_9_8_2_18_4_17_9_20_8,bl_3,50,49,8,0.9385714285714284,1.96,4.24,45,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_17_21_15_2_9_3_2_7_18_10_14_5_9_9_20_20,bl_3,32,31,9,0.93359375,1.9375,4.1875,27,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_16_6_11_11_22_4_20_2_2_18_14_20_14_15_8_4_4_16_15_5_2_18_9_9_5_8_8_8_9,bl_3,52,51,8,0.9368131868131868,1.9615384615384608,4.230769230769231,47,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_12_19_2_5_16_14_3_9_21_9_18_4_4_12_20_17_16_3_8_9_7,bl_3,26,25,9,0.9182692307692308,1.9230769230769231,4.0,21,0.0,0,,0.0,0.0,0.0,1.0,1.0
